"munic";"maes_chefes_91";"maes_chefes_00";"maes_chefes_10";"mortalidade_91";"mortalidade_00";"mortalidade_10";"uf"
"Reserva ";10,69;8,85;20,53;54,17;35,4;16,9;"PR"
"Resplendor ";11,51;13,56;20,18;30,7;28,66;15,4;"MG"
"Ressaquinha ";10,18;4,42;12,7;39,8;27,17;15,3;"MG"
"Restinga Seca ";6,27;10,15;16,26;26,09;22,4;13,2;"RS"
"Restinga ";2,63;12,44;24,52;33,29;19,8;15,4;"SP"
"Retirolândia ";17,83;22,82;21,76;86,09;50,02;23,4;"BA"
"Riachão das Neves ";21,57;23,58;27,04;75,3;46,26;22,4;"BA"
"Riachão do Bacamarte ";4,57;14;47,13;83,15;57,48;33;"PB"
"Riachão do Dantas ";11,8;20,61;36,25;82,61;47,08;22,2;"SE"
"Riachão do Jacuípe ";17,57;17,25;13,81;74,77;51,24;26,5;"BA"
"Riachão do Poço ";5,08;14,61;25,18;93,18;50,09;27,7;"PB"
"Riachão ";18,43;17,99;41,73;94,76;48,15;28;"MA"
"Riachão ";7,15;5,45;35,41;81,15;43,55;25,2;"PB"
"Riachinho ";15,24;16,35;15,05;33,27;28,94;19,1;"MG"
"Riachinho ";8,63;6,87;14,44;83,2;52,33;24,8;"TO"
"Riacho da Cruz ";4;13,35;25,45;78,02;54,49;26,6;"RN"
"Riacho das Almas ";9,71;16,36;19,56;86,25;73,07;25,8;"PE"
"Riacho de Santana ";7,4;17,31;14,75;62,88;37,64;25;"BA"
"Riacho de Santana ";8,55;9,75;19,11;82,58;50,63;22,2;"RN"
"Riacho de Santo Antônio ";11,21;1,85;46,65;100,13;52,82;30,2;"PB"
"Riacho dos Cavalos ";10,17;11,04;21,66;93,13;48,71;26,9;"PB"
"Riacho dos Machados ";12,33;14,29;16,9;47,59;35,42;17,8;"MG"
"Riacho Frio ";16,15;11,2;21,35;75,92;51,12;25,8;"PI"
"Riachuelo ";12,91;25,88;26,47;60,57;35,81;23,7;"RN"
"Riachuelo ";41,51;38,15;45,9;51,31;41,84;24,7;"SE"
"Rialma ";27,32;10,06;11,16;32,18;25,3;13,7;"GO"
"Rianápolis ";16,01;12,25;10,77;28,06;27,1;12,7;"GO"
"Ribamar Fiquene ";19,43;15,85;22,69;84,14;55,45;30,5;"MA"
"Ribas do Rio Pardo ";12,97;11,36;17,55;35,29;23,68;18,1;"MS"
"Ribeira do Amparo ";16,61;23,71;43,55;95,41;66,48;38,8;"BA"
"Ribeira do Piauí ";8,17;12,52;28,96;92,85;48,6;26,4;"PI"
"Ribeira do Pombal ";18,74;23,77;31,08;104,61;60,93;36,6;"BA"
"Ribeirão Bonito ";4,46;18,19;10,1;21,54;20,3;16,9;"SP"
"Ribeirão Branco ";5,89;13,79;31,36;42,52;30,4;18,3;"SP"
"Ribeirão Cascalheira ";11,14;8,15;26,18;32,87;29,75;15,6;"MT"
"Ribeirão Claro ";7,62;6,11;9,13;28,77;28,02;12,8;"PR"
"Ribeirão Corrente ";5,53;12,04;22,23;29,19;24,1;16,6;"SP"
"Ribeirão das Neves ";20,26;23,96;24,71;36,38;24,64;16,4;"MG"
"Ribeirão do Largo ";7,5;6,3;32,4;88,84;50,36;25,8;"BA"
"Ribeirão do Pinhal ";10,66;13,64;21;39,85;26,7;13,5;"PR"
"Ribeirão dos Índios ";NA;9,84;14,35;29,19;22,5;17,1;"SP"
"Ribeirão do Sul ";9,61;5,24;12,97;32,56;20,9;16,2;"SP"
"Ribeirão Grande ";NA;8,68;7,98;42,2;24,4;17,3;"SP"
"Ribeirão ";17,87;18,3;21,32;55,66;55,39;34,5;"PE"
"Ribeirão Pires ";9,54;10,41;8,98;27,3;16,5;12,01;"SP"
"Ribeirão Preto ";8,65;9,88;9,56;22,37;18,52;16,88;"SP"
"Ribeirão Vermelho ";2,49;7,12;5,41;34,76;26,66;13,8;"MG"
"Ribeirãozinho ";7,91;10,82;5,42;32,52;32,3;18,4;"MT"
"Ribeira ";17,63;16,51;19,07;43,1;28,7;18,3;"SP"
"Ribeiro Gonçalves ";21,4;16,48;29,18;56,28;42,58;21,5;"PI"
"Ribeirópolis ";15,19;21,95;30,85;51,31;41,84;24,2;"SE"
"Rifaina ";14,05;16,88;12,59;30,73;18,9;15,6;"SP"
"Rincão ";8,53;23,55;14,51;29,59;23,2;15,5;"SP"
"Rinópolis ";4,45;7,32;12,56;35,64;20,8;13,8;"SP"
"Rio Acima ";14,08;14,74;15,37;34,92;23,6;12,1;"MG"
"Rio Azul ";11,44;9,39;13,09;32,91;26,8;13,9;"PR"
"Rio Bananal ";4,36;7,64;9,3;34,65;25,83;16,8;"ES"
"Rio Bom ";1,82;6,18;16,26;35,28;22,4;11,5;"PR"
"Rio Bonito do Iguaçu ";12,11;8,93;14,16;43;34,69;16,3;"PR"
"Rio Bonito ";15,51;13,26;13,04;25,12;15,69;15,2;"RJ"
"Rio Branco ";23,44;25,27;23,31;33,21;25,45;20,03;"AC"
"Rio Branco do Ivaí ";10,88;11,01;23,53;49,1;34,12;17,1;"PR"
"Rio Branco do Sul ";9,27;11,23;28,67;35,28;24,69;11,6;"PR"
"Rio Branco ";29,75;12,8;19,82;39,57;29,75;17;"MT"
"Rio Brilhante ";19,29;13,15;22,64;40,63;21,99;15;"MS"
"Rio Casca ";15,68;17,1;20,15;41,16;33,65;17,3;"MG"
"Rio Claro ";11,26;8,27;22,27;27,64;18,33;16,9;"RJ"
"Rio Claro ";7,45;8,17;11,45;22,45;16,6;13,47;"SP"
"Rio Crespo ";11,89;19,27;24,67;54,65;28,31;16,2;"RO"
"Rio da Conceição ";4,49;70,58;63,26;84,03;60,74;32,8;"TO"
"Rio das Antas ";8,4;6,79;11,13;26,59;23,2;14,7;"SC"
"Rio das Flores ";8,52;13,17;28,18;32,39;21,44;15;"RJ"
"Rio das Ostras ";18,31;17,29;13,17;28,25;18,21;10,96;"RJ"
"Rio das Pedras ";10,44;13,18;6,09;26,73;19,4;14;"SP"
"Rio de Contas ";10,15;7,16;15,35;61,24;37,16;24,4;"BA"
"Rio de Janeiro ";8,85;11,18;12,02;30,23;21,83;13,02;"RJ"
"Rio do Antônio ";7,33;8,14;14,82;71,76;53,86;29,3;"BA"
"Rio do Campo ";9,17;8,26;12,8;30,69;27,1;16,3;"SC"
"Rio Doce ";18,98;4,49;8,31;54,07;36,29;18,5;"MG"
"Rio do Fogo ";23,6;11,48;33,21;91,09;56,59;28,9;"RN"
"Rio do Oeste ";4,26;1,19;23,88;22,99;18,8;9,1;"SC"
"Rio do Pires ";13,37;15,26;12,69;53,4;41,62;24,4;"BA"
"Rio do Prado ";12,32;24,3;14,73;51,02;36,28;17,9;"MG"
"Rio dos Bois ";1,81;14,82;20,37;80,58;45,19;19,2;"TO"
"Rio dos Cedros ";3,96;5,18;14,25;30;19,6;14,1;"SC"
"Rio dos Índios ";6,71;23,44;9,52;25,11;19,6;15,3;"RS"
"Rio do Sul ";9,87;9,18;14,98;27,34;21,9;9;"SC"
"Rio Espera ";13,72;10,92;15,64;42,12;33,72;18,5;"MG"
"Rio Formoso ";16,93;21,31;14,34;71,82;54,2;17,4;"PE"
"Rio Fortuna ";2,99;1,86;4,41;19,47;18,5;12,2;"SC"
"Rio Grande da Serra ";19,13;19,51;15,09;27,92;21,3;15,7;"SP"
"Rio Grande do Piauí ";17,59;21,08;15,44;56,51;38,17;24,8;"PI"
"Rio Grande ";10,58;14,95;19,62;23,63;14,14;10,6;"RS"
"Riolândia ";6,72;11,16;13,38;35,96;25,3;16,2;"SP"
"Rio Largo ";18,42;18,45;26,12;60,63;34,16;22,8;"AL"
"Rio Manso ";8,13;7,7;14;37,19;32,22;18,4;"MG"
"Rio Maria ";22,23;10,9;18,07;53,38;32,77;18,1;"PA"
"Rio Negrinho ";6,38;10,94;15,83;31,81;24,3;12,4;"SC"
"Rio Negro ";10,71;11,23;30,64;35,75;21,99;14,2;"MS"
"Rio Negro ";9,52;15,26;17,02;29,1;20,2;10,5;"PR"
"Rio Novo do Sul ";5,69;13,13;7,6;30,12;20,47;13,8;"ES"
"Rio Novo ";10,25;10,23;14,25;27,87;22,86;15,2;"MG"
"Rio Paranaíba ";9,42;9,88;11,25;26,39;24,34;13,4;"MG"
"Rio Pardo de Minas ";19,17;16,84;19,53;51,55;39,35;18,8;"MG"
"Rio Pardo ";10,35;9,25;16,46;26,74;17,9;11,8;"RS"
"Rio Piracicaba ";9,47;12,97;14,02;41,05;36,05;19,2;"MG"
"Rio Pomba ";9,93;12,97;14,2;26,87;19,29;12,7;"MG"
"Rio Preto da Eva ";16,98;10,59;26,5;48,39;38,66;19,8;"AM"
"Rio Preto ";11,74;9,86;22,68;27,87;24,08;14,1;"MG"
"Rio Quente ";5,82;6,73;14,71;25,54;24,4;11;"GO"
"Rio Real ";20,88;24,02;33,75;90,36;54,33;31,4;"BA"
"Rio Rufino ";11,03;7,53;8,73;34,23;28,2;16;"SC"
"Rio Sono ";14,35;8,36;15,84;63,6;45,71;21,7;"TO"
"Rio Tinto ";14,37;14,31;23,21;83,45;49,94;28,9;"PB"
"Rio Verde de Mato Grosso ";15,76;17,6;15,9;35,75;21,86;15,9;"MS"
"Rio Verde ";12,54;11,75;15,31;25,49;23,95;11,68;"GO"
"Rio Vermelho ";17,6;16,13;33,75;50,32;39,14;20;"MG"
"Riozinho ";7,79;6,97;20,6;17,9;12,2;9;"RS"
"Riqueza ";9,56;7,31;15,29;27,7;22,6;13,9;"SC"
"Ritápolis ";13,64;11,95;16,54;49,6;35,91;17,1;"MG"
"Riversul ";11,57;29,33;17,46;39,24;23,1;18,1;"SP"
"Roca Sales ";3,78;8,54;23,39;19,8;18,8;11,2;"RS"
"Rochedo de Minas ";3,04;18,98;20,28;32,52;22,86;14;"MG"
"Rochedo ";7,07;8,76;16,04;36,33;29,51;18,2;"MS"
"Rodeio Bonito ";9,93;8,4;8,78;19,08;17,9;12;"RS"
"Rodeio ";7,44;7,54;10,75;21,34;19,1;9,3;"SC"
"Rodeiro ";5,3;5,39;11,05;30,79;24,94;18,9;"MG"
"Rodelas ";11,3;16,76;33,67;66,45;42,81;20,6;"BA"
"Rodolfo Fernandes ";3,92;13,99;23,44;65,44;36,44;25,2;"RN"
"Rodrigues Alves ";18,59;6,48;31,26;45,75;40,18;30,4;"AC"
"Rolador ";5,18;1,96;17,17;19,8;18,3;12,7;"RS"
"Rolândia ";9,45;10,18;12,94;33,92;30,56;13,7;"PR"
"Rolante ";8,39;12,67;24,9;22,2;20,4;13;"RS"
"Rolim de Moura ";10,15;13,61;17,77;35,88;21,68;16,9;"RO"
"Romaria ";6,29;9,81;8,15;34,87;26,93;17,3;"MG"
"Romelândia ";9,66;11,1;12,97;32,07;29,4;16,6;"SC"
"Roncador ";10,78;11,23;13,74;49,88;32,1;16,8;"PR"
"Ronda Alta ";7,08;8,25;18,04;21,86;18,5;10,2;"RS"
"Rondinha ";5,61;3,17;2,68;19,08;17,5;12;"RS"
"Rondolândia ";5,39;NA;9,59;32,52;31,65;18,7;"MT"
"Rondon do Pará ";12,19;17,84;25,93;52,15;38,32;20,5;"PA"
"Rondonópolis ";14,91;14,31;13,68;29,64;23,57;16,4;"MT"
"Rondon ";13,52;6,89;10,24;45,3;28,19;14,7;"PR"
"Roque Gonzales ";10,85;12,23;11,66;23,67;20,4;12;"RS"
"Rorainópolis ";16,4;18,3;25,71;76,72;31,64;17,6;"RR"
"Rosana ";5,71;8,71;11,37;28,99;18,4;16,2;"SP"
"Rosário da Limeira ";6,98;15,1;7,57;32,81;26,49;17,4;"MG"
"Rosário do Catete ";26,23;28,51;39,55;79,57;50,99;31,3;"SE"
"Rosário do Ivaí ";3,91;7,55;21,32;50,37;35,4;16,7;"PR"
"Rosário do Sul ";8,84;12,96;19,59;24,07;17,8;12,1;"RS"
"Rosário ";14,15;29,91;26,97;79,84;45,3;29;"MA"
"Rosário Oeste ";14,75;23,45;23,92;34,09;26,3;17,9;"MT"
"Roseira ";16,29;11,77;14,02;27,72;22;15,7;"SP"
"Roteiro ";26,9;24,95;28,36;100,56;76,84;46,8;"AL"
"Rubelita ";10,52;12,09;31,49;44,17;31,42;17,8;"MG"
"Rubiácea ";23,49;9,57;4,97;29,25;19,3;16;"SP"
"Rubiataba ";10,94;10,25;7,66;33,31;29,8;14,8;"GO"
"Rubim ";18,1;13,65;22,45;51,02;36,28;16,9;"MG"
"Rubinéia ";10,84;9,65;5,72;28,19;21,8;13,8;"SP"
"Rurópolis ";10,38;10,92;16,73;77,07;45,39;24,4;"PA"
"Russas ";18,92;23,45;18,79;54,1;31,29;19,8;"CE"
"Ruy Barbosa ";18,52;15,8;18,67;58,34;39,61;23,9;"BA"
"Ruy Barbosa ";13;21,3;14,4;85,19;55,25;21,6;"RN"
"Sabará ";15,61;19,3;18,42;34,76;26,63;15,4;"MG"
"Sabáudia ";8,67;11,19;9,71;29,12;26,6;11,9;"PR"
"Sabinópolis ";14,93;14,88;26,59;32,81;29,7;17,4;"MG"
"Sabino ";8,03;19,83;16,23;30,55;21,2;16,7;"SP"
"Saboeiro ";10,62;13,05;17,95;98,87;64,71;33,3;"CE"
"Sacramento ";9,37;11,56;11,57;27,82;19,45;12,1;"MG"
"Sagrada Família ";NA;7,74;19,08;24,29;20,9;17,4;"RS"
"Sagres ";6,14;17,87;6,29;32,2;24,9;15,1;"SP"
"Sairé ";5,33;9,41;21,57;81,21;59,51;21,2;"PE"
"Saldanha Marinho ";5,62;5,39;19,79;21,21;14,1;12,1;"RS"
"Sales Oliveira ";8,36;8,44;3,46;23,81;20,3;13,7;"SP"
"Salesópolis ";15,09;15,43;15,82;33;22,6;15,1;"SP"
"Sales ";11,01;8,89;18,29;21,59;20,1;12,4;"SP"
"Salete ";2,72;8,38;21,72;30;24,4;16,3;"SC"
"Salgadinho ";16,37;5;28,1;90,72;50,09;29,5;"PB"
"Salgadinho ";12,55;8,7;14,61;83,9;58,53;30,8;"PE"
"Salgado de São Félix ";10,09;12,3;18,4;83,15;48,71;23,8;"PB"
"Salgado Filho ";6,25;9,09;21,67;29,28;25,3;12,9;"PR"
"Salgado ";26,92;17,77;23,08;81,75;43,84;20,9;"SE"
"Salgueiro ";19,38;19,07;22,34;58,46;38,44;18,9;"PE"
"Salinas da Margarida ";25,05;43,39;31,56;78,6;55,7;31,4;"BA"
"Salinas ";9,08;11,53;15,69;37;30,63;17,1;"MG"
"Salinópolis ";24,72;33,65;32,18;43,83;26,37;19;"PA"
"Salitre ";8,62;10,83;33,94;77,16;56,1;29,9;"CE"
"Salmourão ";1,75;8,95;23;32,2;19,1;13,6;"SP"
"Saloá ";12,19;22,23;29,66;86,4;65,9;28,1;"PE"
"Saltinho ";10,65;5,57;9,71;33,21;30,5;17,1;"SC"
"Saltinho ";2,65;3,99;5,54;18,03;13;12,7;"SP"
"Salto da Divisa ";21,43;17,67;21,12;39,9;28,72;14,2;"MG"
"Salto de Pirapora ";6,47;15,77;14,05;30,73;18,8;14,7;"SP"
"Salto do Céu ";5,88;7,73;10,16;32,87;30,82;19;"MT"
"Salto do Itararé ";4,6;10,25;7,3;35,28;24,69;12,5;"PR"
"Salto do Jacuí ";10,27;16,03;24,93;27,87;19,8;12,4;"RS"
"Salto do Lontra ";9,11;9,01;18,19;29,28;21,5;12,2;"PR"
"Salto Grande ";14,87;11,71;15,87;26,36;24,5;15,5;"SP"
"Salto ";10,11;10,47;10,58;27,69;16,5;13,3;"SP"
"Salto Veloso ";15,86;7,22;14;27,56;18,8;9,9;"SC"
"Salvador ";17,13;19,22;13,34;46,38;36,35;14,92;"BA"
"Salvador das Missões ";7,17;4,75;4,73;24,76;18;11,4;"RS"
"Salvador do Sul ";8,36;2,21;17,44;17,68;13,6;12,8;"RS"
"Salvaterra ";13,29;13,53;33,09;42,93;28,72;19,7;"PA"
"Sambaíba ";11,2;15,3;39,03;69,04;55,92;33,8;"MA"
"Sampaio ";23,1;15,65;38,81;94,2;64,48;38,5;"TO"
"Sananduva ";6,32;5,84;8,98;19,2;17,8;12,8;"RS"
"Sanclerlândia ";16,58;11,42;11,04;28,27;23,3;13,3;"GO"
"Sandolândia ";1,1;6,55;4,74;57,65;37,75;19,8;"TO"
"Sandovalina ";11,92;28,05;15,72;28,61;19,6;16,8;"SP"
"Sangão ";3,7;14,41;35,76;26,22;25,4;12;"SC"
"Sanharó ";15,04;20,87;36,49;86,71;65,9;25,5;"PE"
"Santa Adélia ";6,87;6,79;10,38;25,31;16,5;13,5;"SP"
"Santa Albertina ";7,41;10,57;4,74;21,54;19,8;17,1;"SP"
"Santa Amélia ";8,8;21,51;17,96;44,95;33,41;14,7;"PR"
"Santa Bárbara ";22,63;22,84;30,97;88,31;46,77;23;"BA"
"Santa Bárbara de Goiás ";22,69;14,18;19,61;32,4;28;13,3;"GO"
"Santa Bárbara D'Oeste ";8,22;10,44;10,81;24,19;16,2;10,58;"SP"
"Santa Bárbara do Leste ";2,55;10,67;11,88;38,89;28,45;18,6;"MG"
"Santa Bárbara do Monte Verde ";4,69;11;27,02;38,81;27,05;16,3;"MG"
"Santa Bárbara do Pará ";10,36;16,57;19,18;60,64;44,36;21,1;"PA"
"Santa Bárbara do Sul ";7,63;8,85;13,12;33,34;17,7;12,1;"RS"
"Santa Bárbara do Tugúrio ";4,9;12,05;10,57;51,56;36,66;17,6;"MG"
"Santa Bárbara ";17,2;28,63;18,41;36,17;30,15;17;"MG"
"Santa Branca ";10,05;9,2;11,77;30,65;21;15,2;"SP"
"Santa Brígida ";16,63;14,16;32,84;98,06;61,33;35,4;"BA"
"Santa Carmem ";0,59;6,12;35,83;20,67;19,82;15,9;"MT"
"Santa Cecília do Pavão ";22,48;9,56;12,56;39,85;26,6;12,3;"PR"
"Santa Cecília do Sul ";2,65;3,54;6,1;21,86;15,41;13,1;"RS"
"Santa Cecília ";7,65;9,98;70,77;89,24;62,53;37,7;"PB"
"Santa Cecília ";10,49;9,87;20,88;36,98;29,2;14,8;"SC"
"Santa Clara D'Oeste ";7,33;15,05;8,2;30,69;22,7;17,6;"SP"
"Santa Clara do Sul ";NA;7,17;30,73;18,1;16,1;12,8;"RS"
"Santa Cruz Cabrália ";18,96;21,33;37,74;56,89;37,2;21,6;"BA"
"Santa Cruz da Baixa Verde ";29,7;15,38;20,66;69,97;47,24;20,9;"PE"
"Santa Cruz da Conceição ";0,57;3,85;3,37;23,3;13,7;11,1;"SP"
"Santa Cruz da Esperança ";17,96;3,19;5,51;27,52;19,2;14,9;"SP"
"Santa Cruz das Palmeiras ";8,37;14,44;17,88;27,87;20,7;16,5;"SP"
"Santa Cruz da Vitória ";19,94;10,73;31,6;63,25;45,65;21,2;"BA"
"Santa Cruz de Goiás ";4,41;7,3;7,04;22,16;21,8;13,7;"GO"
"Santa Cruz de Minas ";11,7;23,05;14,79;36,17;24,84;14,8;"MG"
"Santa Cruz de Monte Castelo ";17,01;13,83;7,61;35,28;24,69;12,9;"PR"
"Santa Cruz de Salinas ";9,17;30,9;28,58;61,23;49,39;23,4;"MG"
"Santa Cruz do Arari ";55,57;14,53;22,08;66,49;45,39;22,5;"PA"
"Santa Cruz do Capibaribe ";18,83;24,47;37,72;48,28;40,97;17,9;"PE"
"Santa Cruz do Escalvado ";11,91;15,6;17,33;45,72;35,42;17,1;"MG"
"Santa Cruz do Piauí ";23,3;10,94;9,25;75,56;49,82;33,6;"PI"
"Santa Cruz do Rio Pardo ";6,91;9,09;11,21;21,19;17,8;10,9;"SP"
"Santa Cruz dos Milagres ";10,62;10,29;28,63;69,43;52,79;33,9;"PI"
"Santa Cruz do Sul ";6,43;11,86;10,87;21,46;15,1;11,76;"RS"
"Santa Cruz do Xingu ";34,38;NA;45,08;23,65;22,39;15,8;"MT"
"Santa Cruz ";10;5,82;11,58;54,16;39,41;22,4;"PB"
"Santa Cruz ";11,51;38,5;41,29;65,93;57,74;32,3;"PE"
"Santa Cruz ";14,94;12,34;23,07;64,27;42,06;24,7;"RN"
"Santa Efigênia de Minas ";17,53;16,68;32,5;44,14;31,13;19,4;"MG"
"Santa Ernestina ";12,57;9,38;5,74;33,62;24,8;17,8;"SP"
"Santa Fé de Goiás ";11,38;13,92;13,63;23,54;19,7;12,1;"GO"
"Santa Fé de Minas ";20,54;22,62;30,81;47,59;38,14;18,2;"MG"
"Santa Fé do Araguaia ";7,96;15,25;36,66;68,79;44,41;18;"TO"
"Santa Fé do Sul ";9,66;6,3;5,54;23,2;17;13;"SP"
"Santa Fé ";7,86;10,45;8,84;39,17;28,03;15,8;"PR"
"Santa Filomena do Maranhão ";16,46;15,29;50,33;108,17;56,56;35;"MA"
"Santa Filomena ";5,33;11,28;32,97;64,17;55,16;26,6;"PE"
"Santa Filomena ";20,97;12,52;34,41;56,28;37,69;21,2;"PI"
"Santa Gertrudes ";6,14;11,5;16,01;22,42;20,2;13,5;"SP"
"Santa Helena de Goiás ";8,23;13,49;12,9;26,91;24,8;14;"GO"
"Santa Helena de Minas ";14,15;15,69;22,06;56,15;55,8;27,8;"MG"
"Santa Helena ";27,51;23,84;27,23;85,39;53,01;30,2;"MA"
"Santa Helena ";10,36;16,26;19,23;58,88;44,55;21,3;"PB"
"Santa Helena ";12,18;8,39;13,69;27,76;22;13,6;"PR"
"Santa Helena ";12,71;2,31;8,21;22,44;18,7;13,6;"SC"
"Santa Inês ";22,53;25,1;30,22;55,82;39,74;36,6;"BA"
"Santa Inês ";22,45;21,94;23,18;62,27;40;22,7;"MA"
"Santa Inês ";9,08;7,09;28,57;70,83;58,34;36,2;"PB"
"Santa Inês ";7,07;13,29;6,74;39,85;26,6;13,2;"PR"
"Santa Isabel do Ivaí ";7,86;20,08;7,72;35,24;24,5;15;"PR"
"Santa Isabel do Pará ";10,92;14,67;19,81;48,64;31,09;19;"PA"
"Santa Isabel do Rio Negro ";5,31;22,22;24,79;75,82;58,86;27,9;"AM"
"Santa Isabel ";10,11;9,55;5,27;30,12;29,9;14,4;"GO"
"Santa Isabel ";11,76;13,8;17,44;30,28;20;14,7;"SP"
"Santa Izabel do Oeste ";25,7;13,64;27,03;34,11;24,5;13,3;"PR"
"Santa Juliana ";6,97;5,59;14,62;22,88;20,33;12,4;"MG"
"Santa Leopoldina ";8,63;5,58;17,71;40,94;28,72;17,3;"ES"
"Santa Lúcia ";9,78;12,63;12,97;43,39;33,4;17;"PR"
"Santa Lúcia ";10,6;13,22;17,31;28,99;17,7;16,2;"SP"
"Santaluz ";16,19;17,28;25,74;82,34;47,88;25;"BA"
"Santa Luzia ";15,09;20,31;38,78;91,84;48,48;24,2;"BA"
"Santa Luzia D'Oeste ";8,57;12,62;9,58;56,02;29,28;16,3;"RO"
"Santa Luzia do Itanhy ";23,03;29,91;40,75;85,53;50,59;25,1;"SE"
"Santa Luzia do Norte ";22,86;18,9;23,27;83,93;46,73;25,8;"AL"
"Santa Luzia do Pará ";10,3;10,62;22,92;66,64;52,05;31,9;"PA"
"Santa Luzia do Paruá ";21,65;19,29;30,59;71,3;45,3;34,7;"MA"
"Santa Luzia ";17,55;15,32;34,78;74,19;60,54;39,8;"MA"
"Santa Luzia ";19,04;23,14;20,02;34,92;23,6;11,3;"MG"
"Santa Luzia ";12,51;12,27;17,28;66,18;34,85;18,5;"PB"
"Santa Luz ";13,02;11,58;21,43;68,24;41,11;24,6;"PI"
"Santa Margarida do Sul ";0,68;5,04;10,79;17,9;12,7;10;"RS"
"Santa Margarida ";9,95;10,04;13,63;53,35;40,98;20,2;"MG"
"Santa Maria da Boa Vista ";17,67;23,17;23,25;62,45;55,16;22,9;"PE"
"Santa Maria das Barreiras ";7,25;17,92;24,46;51,64;31,89;21,2;"PA"
"Santa Maria da Serra ";8,93;8,36;15,57;34,91;20,5;16;"SP"
"Santa Maria da Vitória ";15,82;15,1;20,11;64,03;35,73;25,9;"BA"
"Santa Maria de Itabira ";15,39;18,1;22,55;39,8;30,15;16,5;"MG"
"Santa Maria de Jetibá ";7,56;8,53;14,71;30,53;23,28;14;"ES"
"Santa Maria do Cambucá ";13,71;22,48;55,09;98,66;72,74;29,8;"PE"
"Santa Maria do Herval ";6,69;7,65;12,73;22,2;20,2;11,7;"RS"
"Santa Maria do Oeste ";7,68;15,41;16,6;45,64;34,12;16,5;"PR"
"Santa Maria do Pará ";16;17,35;23,73;59,09;45,39;24,4;"PA"
"Santa Maria do Salto ";8,1;13,13;11,19;52,47;47,21;22,4;"MG"
"Santa Maria do Suaçuí ";18,85;21,33;34,32;44,53;33,68;16,9;"MG"
"Santa Maria do Tocantins ";1,21;16,77;10,56;80,58;45,93;20,9;"TO"
"Santa Maria Madalena ";7,21;6,91;15,27;25,49;18,42;17,3;"RJ"
"Santa Mariana ";15,64;11,59;10,28;41,59;26,6;15,2;"PR"
"Santa Maria ";8,16;16,48;36,75;82,58;49,72;21,8;"RN"
"Santa Maria ";7,94;11,07;13,1;18,43;15,41;11,6;"RS"
"Santa Mercedes ";9,18;9,87;13,89;33,29;22,9;13,5;"SP"
"Santa Mônica ";23,49;10,05;23,25;42,97;29,39;17,3;"PR"
"Santana ";22,62;32,52;28,01;43,26;28,35;17,7;"AP"
"Santana ";9,84;10,68;20,14;59,37;41,57;22,8;"BA"
"Santana da Boa Vista ";5,71;8,17;15,96;25,6;20,9;15,4;"RS"
"Santana da Ponte Pensa ";1,61;4,21;4,22;22,1;14,7;13;"SP"
"Santana da Vargem ";7,75;7,64;10,32;36,74;27,28;13,9;"MG"
"Santana de Cataguases ";3,73;11,31;13,17;36;27,05;19,3;"MG"
"Santana de Mangueira ";14,74;11,57;18,11;70,83;48,92;26,3;"PB"
"Santana de Parnaíba ";9,76;17,8;17,86;23,48;17,4;15,49;"SP"
"Santana de Pirapama ";11,28;17,06;18,93;39,72;31,15;17;"MG"
"Santana do Acaraú ";8,91;14,37;31,67;83,03;47,85;25,6;"CE"
"Santana do Araguaia ";22,77;13,07;20,47;51,64;28,42;22,8;"PA"
"Santana do Cariri ";16,19;15,7;33,59;69,94;45,29;21,6;"CE"
"Santana do Deserto ";5,83;12,27;22,24;29,36;24,42;13,9;"MG"
"Santana do Garambéu ";12,11;11,25;12,72;41,16;34,42;16,4;"MG"
"Santana do Ipanema ";21,2;22,96;35,49;71,73;50,16;25,8;"AL"
"Santana do Itararé ";9,69;9,96;24,05;35,28;25,3;11,6;"PR"
"Santana do Jacaré ";24,01;11,02;20,05;36,27;33,79;19,7;"MG"
"Sant'Ana do Livramento ";10,01;16,47;18,12;25,25;17,9;11,7;"RS"
"Santana do Manhuaçu ";14,69;11,23;19,68;50,16;36,66;17,7;"MG"
"Santana do Maranhão ";9,52;14,39;38,04;94,76;48,99;27,9;"MA"
"Santana do Matos ";11,31;8,39;16,45;93,67;59,02;23,6;"RN"
"Santana do Mundaú ";23,25;19,2;22,91;78,92;48,25;29;"AL"
"Santana do Paraíso ";9,98;21,36;14,6;36,33;25,07;11,5;"MG"
"Santana do Piauí ";8,52;4,05;14,58;62,26;49,82;30,5;"PI"
"Santana do Riacho ";13,75;5,04;13,76;40,27;31,15;15,3;"MG"
"Santana do São Francisco ";15,78;20,23;17,49;86,81;58,42;34,2;"SE"
"Santana do Seridó ";4,1;7,86;13,72;58,94;35,04;23,6;"RN"
"Santana dos Garrotes ";10,37;8,37;7,64;67,96;38,33;23,6;"PB"
"Santana dos Montes ";9,9;12,26;14,66;41,28;36,5;18,5;"MG"
"Santanópolis ";21,7;22,98;37,85;59,08;42,52;28,1;"BA"
"Santa Quitéria ";8,23;12,82;14,68;70,87;41,14;22,3;"CE"
"Santa Quitéria do Maranhão ";16,33;20,45;26,13;86,5;50,07;27,4;"MA"
"Santarém Novo ";13,92;23,26;38,65;72,19;45,39;22,8;"PA"
"Santarém ";16,63;19,57;19,19;50,72;27;17,91;"PA"
