"munic";"maes_chefes_91";"maes_chefes_00";"maes_chefes_10";"mortalidade_91";"mortalidade_00";"mortalidade_10";"uf"
"Alto Longá ";12,48;10,52;8,28;59,03;44,64;27,7;"PI"
"Altônia ";8,75;4,18;9,78;35,28;26,6;11,6;"PR"
"Alto Paraguai ";23,15;16,19;10,44;41,81;36,66;20,4;"MT"
"Alto Paraíso de Goiás ";12,49;28,29;27,5;25,58;22,2;14,3;"GO"
"Alto Paraíso ";7,46;13,03;13,1;43,62;27,3;13,9;"PR"
"Alto Paraíso ";10,34;18,47;20,74;54,65;29,28;17,4;"RO"
"Alto Paraná ";9,66;9,07;17,02;28,79;26,69;11,7;"PR"
"Alto Parnaíba ";20,81;29,99;33,17;72,94;35,91;23,2;"MA"
"Alto Piquiri ";13,22;15,43;8,64;43,56;27,28;16,8;"PR"
"Alto Rio Doce ";15,37;12,3;27,89;40,28;28,31;15,8;"MG"
"Alto Rio Novo ";12,49;10,1;11,71;51,56;28,72;15,6;"ES"
"Alto Santo ";14,41;11,98;17,79;49,09;37,93;22,4;"CE"
"Altos ";15,21;22,95;23,49;58,22;41,27;24,8;"PI"
"Alto Taquari ";13;10,83;25,09;22,97;19,02;15,4;"MT"
"Alumínio ";8,15;9,41;9,86;37,04;22,6;14;"SP"
"Alvarães ";18,7;3,83;42,29;49,58;45,79;20,8;"AM"
"Alvarenga ";9,53;9,06;22,99;41,9;38,39;18,8;"MG"
"Álvares Florence ";0,92;4,41;11,01;30,55;21,2;17,4;"SP"
"Álvares Machado ";11,95;10,14;10,38;22,68;19,1;14,7;"SP"
"Álvaro de Carvalho ";10,44;20,38;18,41;33,05;27,1;17,5;"SP"
"Alvinlândia ";9,99;10,1;13,97;34,91;22,4;18,9;"SP"
"Alvinópolis ";12,87;12,8;14,17;33,45;30,15;16,4;"MG"
"Alvorada de Minas ";15,06;18,05;19,5;36,67;29,93;19,2;"MG"
"Alvorada D'Oeste ";12,61;10,47;12,06;49,76;33,37;23,8;"RO"
"Alvorada do Gurguéia ";14,85;15;30,59;87,86;53,45;28;"PI"
"Alvorada do Norte ";15,09;18,69;27;37,57;34;14,4;"GO"
"Alvorada do Sul ";8,87;11,82;9,6;26,28;25,98;13,3;"PR"
"Alvorada ";15,27;24,64;25,78;23,63;16,46;9,77;"RS"
"Alvorada ";18,69;20,37;19,39;49,25;32,19;12,9;"TO"
"Amajari ";3,51;29,02;25,87;76,72;32,17;15,3;"RR"
"Amambai ";17,92;19,07;38,17;32,89;22,73;19,4;"MS"
"Amapá ";15,34;24,28;67,17;35,85;28,35;18,3;"AP"
"Amapá do Maranhão ";7,62;28,51;58,04;82,89;63,19;42,6;"MA"
"Amaporã ";14,57;17,76;20,68;41,1;34,64;16,9;"PR"
"Amaraji ";15,9;22,48;23,75;69,58;52,18;27,3;"PE"
"Amaral Ferrador ";5,17;5,58;14,32;28,37;20,2;15,4;"RS"
"Amaralina ";12,09;8,76;6,6;29,36;26,8;14,9;"GO"
"Amarante do Maranhão ";12,25;11,98;31,72;90,5;55,12;36,4;"MA"
"Amarante ";13,3;20,19;26,97;53,7;35,73;27,8;"PI"
"Amargosa ";18,48;20,99;23,16;64,41;42,54;18,1;"BA"
"Amaturá ";16,86;12,93;9,66;59,59;41,14;21,7;"AM"
"Amélia Rodrigues ";20;30,1;20,79;75,52;41,04;17,7;"BA"
"América Dourada ";14,45;19,78;50,83;101,79;53,16;27,2;"BA"
"Americana ";6,58;5,96;6,9;20,3;16,4;10,77;"SP"
"Americano do Brasil ";12,4;12,71;8,8;32,9;26,3;14,9;"GO"
"Américo Brasiliense ";5,34;18,76;21,06;18,29;17,6;13,1;"SP"
"Américo de Campos ";7,53;3,35;7,93;21,54;19,4;16,2;"SP"
"Ametista do Sul ";1,89;6,86;20,75;27,1;26,2;14,8;"RS"
"Amontada ";11,81;15,74;29,06;59,71;52,03;24,6;"CE"
"Amorinópolis ";4,04;8,79;6,67;33,31;32,4;14,9;"GO"
"Amparo de São Francisco ";28,71;33,98;25,1;86,81;52,43;31,9;"SE"
"Amparo do Serra ";11,87;9,61;14,67;45,82;37,06;17,5;"MG"
"Amparo ";11,79;12,62;24,93;71,4;52,82;27;"PB"
"Amparo ";6,99;12,84;9,8;27,3;16,5;10,6;"SP"
"Ampére ";11,61;18,35;18,06;35,28;24,5;13,4;"PR"
"Anadia ";20,4;16,71;26,84;77,28;44,96;28,4;"AL"
"Anagé ";8,62;12,58;20,25;67,7;46,02;23,7;"BA"
"Anahy ";10,52;13,75;13,08;35,28;24,69;11,8;"PR"
"Anajás ";8,49;10,78;29,14;50,4;35,37;22,8;"PA"
"Anajatuba ";21,4;19,61;28,28;85,39;50,07;27,2;"MA"
"Analândia ";5,52;3,09;15,2;23,09;17,1;11,4;"SP"
"Anamã ";10,45;6,48;29,37;61,77;55,28;27;"AM"
"Ananás ";14,09;14,23;23,94;63,18;43,19;17,9;"TO"
"Ananindeua ";14,95;20,54;15,36;41,5;21,7;17,17;"PA"
"Anápolis ";12,57;12,32;9,93;28,27;23,88;15,14;"GO"
"Anapu ";3,13;7,38;41,44;59,87;35,11;20,6;"PA"
"Anapurus ";10,79;12,98;23,84;79,89;50,07;26,7;"MA"
"Anastácio ";8,74;15,58;20,64;43,72;31,26;22,8;"MS"
"Anaurilândia ";14,2;10,68;14,74;42,99;27,76;18,5;"MS"
"Anchieta ";9,66;16,66;15,34;24,23;12,91;12,3;"ES"
"Anchieta ";12,19;8,31;13,37;26,21;24;16,6;"SC"
"Andaraí ";20,36;25,94;45,29;91,84;47,88;24,9;"BA"
"Andirá ";9,74;10,88;8,72;40,44;28,19;12,4;"PR"
"Andorinha ";11,76;20,81;31,87;103,36;54,33;30,9;"BA"
"Andradas ";4,23;8,2;13,17;21,9;14,62;11,5;"MG"
"Andradina ";9,03;9,96;8,51;25,26;17,4;9,6;"SP"
"André da Rocha ";NA;1,15;5,06;17,5;15;13,3;"RS"
"Andrelândia ";12,9;11,87;15,11;41,16;33,34;16,8;"MG"
"Angatuba ";9,86;10,52;12,04;32,9;21;15,4;"SP"
"Angelândia ";22,2;21,22;31,28;49,43;48,94;23,5;"MG"
"Angélica ";9,35;9,71;19,1;32,89;27,04;17,2;"MS"
"Angelim ";13,3;19,23;30,79;75,06;69,55;26,7;"PE"
"Angelina ";7,61;6,18;13,47;32,07;24;16,9;"SC"
"Angical ";11,42;11,46;20,22;52,58;38,27;22,6;"BA"
"Angical do Piauí ";14,38;17,22;25,02;62,56;34,23;30,4;"PI"
"Angicos ";14,46;14,04;23,5;50,97;35,04;25,6;"RN"
"Angico ";18,6;9,43;16,99;69,26;45,44;22,7;"TO"
"Angra dos Reis ";11,34;17,72;20,16;27,5;20,14;12,97;"RJ"
"Anguera ";26,35;14,66;15,8;69,82;50,43;24,6;"BA"
"Ângulo ";2,99;4,94;3,36;33,06;28,03;13,2;"PR"
"Anhanguera ";6,99;23,05;5,86;25,54;24;17,8;"GO"
"Anhembi ";5,31;8,65;14,87;25,66;18,7;12,1;"SP"
"Anhumas ";0,56;9,23;15,92;24,53;22;13,7;"SP"
"Anicuns ";12,48;7;7,49;28,21;22,8;13,2;"GO"
